NAME,SUM,FULLNAME,AAG2016,AAG2015,AAG2014,AAG2013
AF,0,AF,0,0,0,0
AO,0,AO,0,0,0,0
AL,0,AL,0,0,0,0
AE,14,AE,2,2,1,9
AR,5,AR,3,2,0,0
AM,0,AM,0,0,0,0
AQ,0,AQ,0,0,0,0
TF,0,TF,0,0,0,0
AU,352,AU,124,91,44,93
AT,39,AT,13,9,6,11
AZ,2,AZ,0,1,0,1
BI,0,BI,0,0,0,0
BE,77,BE,19,27,12,19
BJ,1,BJ,0,1,0,0
BF,0,BF,0,0,0,0
BD,1,BD,0,0,0,1
BG,2,BG,1,0,0,1
BS,0,BS,0,0,0,0
BA,0,BA,0,0,0,0
BY,14,BY,5,6,0,3
BZ,0,BZ,0,0,0,0
BO,0,BO,0,0,0,0
BR,145,BR,31,39,35,40
BN,2,BN,0,1,0,1
BT,0,BT,0,0,0,0
BW,1,BW,0,0,1,0
CF,0,CF,0,0,0,0
CA,1781,CA,502,592,322,365
CH,137,CH,40,43,19,35
CL,42,CL,14,15,5,8
CN,660,CN,256,172,103,129
CI,1,CI,1,0,0,0
CM,3,CM,1,1,1,0
CD,0,CD,0,0,0,0
CG,0,CG,0,0,0,0
CO,21,CO,7,4,4,6
CR,2,CR,0,1,1,0
CU,0,CU,0,0,0,0
CY,1,CY,0,0,1,0
CZ,64,CZ,13,15,22,14
DE,428,DE,128,144,54,102
DJ,0,DJ,0,0,0,0
DK,77,DK,29,24,10,14
DO,1,DO,0,0,0,1
DZ,3,DZ,0,1,1,1
EC,12,EC,5,4,3,0
EG,7,EG,3,0,2,2
ER,1,ER,0,0,1,0
ES,74,ES,19,26,15,14
EE,23,EE,7,6,4,6
ET,23,ET,8,5,3,7
FI,129,FI,36,42,13,38
FJ,0,FJ,0,0,0,0
FK,0,FK,0,0,0,0
FR,251,FR,79,74,30,68
GA,0,GA,0,0,0,0
GB,1611,GB,547,523,229,312
GE,5,GE,2,0,1,2
GH,36,GH,8,8,10,10
GN,0,GN,0,0,0,0
GM,4,GM,1,1,1,1
GW,0,GW,0,0,0,0
GQ,0,GQ,0,0,0,0
GR,9,GR,5,2,0,2
GL,0,GL,0,0,0,0
GT,6,GT,1,1,2,2
GY,1,GY,0,0,1,0
HN,0,HN,0,0,0,0
HR,3,HR,1,0,0,2
HT,0,HT,0,0,0,0
HU,28,HU,8,11,6,3
ID,12,ID,3,5,2,2
IN,141,IN,41,42,26,32
IE,76,IE,24,18,17,17
IR,4,IR,0,1,1,2
IQ,0,IQ,0,0,0,0
IS,5,IS,1,2,0,2
IL,38,IL,8,14,8,8
IT,81,IT,28,29,9,15
JM,24,JM,8,8,4,4
JO,4,JO,2,1,1,0
JP,124,JP,39,30,23,32
KZ,7,KZ,4,1,1,1
KE,6,KE,0,2,2,2
KG,1,KG,0,0,0,1
KH,0,KH,0,0,0,0
KR,0,KR,0,0,0,0
KW,3,KW,0,0,2,1
LA,0,LA,0,0,0,0
LB,7,LB,3,1,3,0
LR,0,LR,0,0,0,0
LY,1,LY,0,0,1,0
LK,8,LK,8,0,0,0
LS,0,LS,0,0,0,0
LT,1,LT,0,1,0,0
LU,16,LU,5,6,0,5
LV,1,LV,1,0,0,0
MA,0,MA,0,0,0,0
MD,0,MD,0,0,0,0
MG,0,MG,0,0,0,0
MX,100,MX,29,34,4,33
MK,0,MK,0,0,0,0
ML,0,ML,0,0,0,0
MM,0,MM,0,0,0,0
ME,2,ME,0,0,0,2
MN,0,MN,0,0,0,0
MZ,1,MZ,0,0,0,1
MR,0,MR,0,0,0,0
MW,1,MW,0,0,0,1
MY,4,MY,0,0,1,3
NA,0,NA,0,0,0,0
NC,0,NC,0,0,0,0
NE,0,NE,0,0,0,0
NG,47,NG,14,11,18,4
NI,0,NI,0,0,0,0
NL,220,NL,63,75,36,46
NO,80,NO,28,22,19,11
NP,3,NP,3,0,0,0
NZ,78,NZ,24,20,14,20
OM,5,OM,4,1,0,0
PK,3,PK,1,1,0,1
PA,7,PA,0,2,1,4
PE,11,PE,4,3,3,1
PH,25,PH,6,7,5,7
PG,0,PG,0,0,0,0
PL,42,PL,15,7,7,13
PR,44,PR,10,19,9,6
KP,127,KP,50,27,16,34
PT,17,PT,6,4,2,5
PY,0,PY,0,0,0,0
PS,0,PS,0,0,0,0
QA,11,QA,3,2,3,3
RO,9,RO,3,1,2,3
RU,45,RU,14,11,9,11
RW,0,RW,0,0,0,0
EH,0,EH,0,0,0,0
SA,26,SA,8,6,6,6
SD,0,SD,0,0,0,0
SS,0,SS,0,0,0,0
SN,0,SN,0,0,0,0
SB,3,SB,1,1,1,0
SL,0,SL,0,0,0,0
SV,2,SV,0,0,2,0
SO,14,SO,2,5,1,6
RS,0,RS,0,0,0,0
SR,0,SR,0,0,0,0
SK,0,SK,0,0,0,0
SI,9,SI,1,2,3,3
SE,234,SE,69,64,36,65
SZ,0,SZ,0,0,0,0
SY,0,SY,0,0,0,0
TD,0,TD,0,0,0,0
TG,0,TG,0,0,0,0
TH,16,TH,4,4,4,4
TJ,0,TJ,0,0,0,0
TM,0,TM,0,0,0,0
TL,0,TL,0,0,0,0
TT,0,TT,0,0,0,0
TN,2,TN,0,1,1,0
TR,70,TR,12,27,19,12
TW,77,TW,21,18,17,21
TZ,1,TZ,0,0,0,1
UG,3,UG,2,1,0,0
UA,0,UA,0,0,0,0
UY,1,UY,1,0,0,0
US,13481,US,3781,3763,2775,3162
UZ,0,UZ,0,0,0,0
VE,3,VE,1,0,1,1
VN,3,VN,0,0,2,1
VU,0,VU,0,0,0,0
YE,6,YE,1,3,1,1
ZA,56,ZA,19,17,8,12
ZM,0,ZM,0,0,0,0
ZW,3,ZW,0,0,1,2
AE,14,AE,2,2,1,9
AR,5,AR,3,2,0,0
AT,39,AT,13,9,6,11
AU,352,AU,124,91,44,93
AZ,2,AZ,0,1,0,1
BD,1,BD,0,0,0,1
BE,77,BE,19,27,12,19
BG,2,BG,1,0,0,1
BH,1,BH,1,0,0,0
BJ,1,BJ,0,1,0,0
BN,2,BN,0,1,0,1
BR,145,BR,31,39,35,40
BW,1,BW,0,0,1,0
BY,14,BY,5,6,0,3
CA,1781,CA,502,592,322,365
CH,137,CH,40,43,19,35
CI,1,CI,1,0,0,0
CL,42,CL,14,15,5,8
CM,3,CM,1,1,1,0
CN,660,CN,256,172,103,129
CO,21,CO,7,4,4,6
CR,2,CR,0,1,1,0
CY,1,CY,0,0,1,0
CZ,64,CZ,13,15,22,14
DE,428,DE,128,144,54,102
DK,77,DK,29,24,10,14
DO,1,DO,0,0,0,1
DZ,3,DZ,0,1,1,1
EC,12,EC,5,4,3,0
EE,23,EE,7,6,4,6
EG,7,EG,3,0,2,2
ER,1,ER,0,0,1,0
ES,74,ES,19,26,15,14
ET,23,ET,8,5,3,7
FI,129,FI,36,42,13,38
FR,251,FR,79,74,30,68
GB,1611,GB,547,523,229,312
GE,5,GE,2,0,1,2
GH,36,GH,8,8,10,10
GM,4,GM,1,1,1,1
GR,9,GR,5,2,0,2
GT,6,GT,1,1,2,2
GY,1,GY,0,0,1,0
HR,3,HR,1,0,0,2
HU,28,HU,8,11,6,3
ID,12,ID,3,5,2,2
IE,76,IE,24,18,17,17
IL,38,IL,8,14,8,8
IN,141,IN,41,42,26,32
IR,4,IR,0,1,1,2
IS,5,IS,1,2,0,2
IT,81,IT,28,29,9,15
JM,24,JM,8,8,4,4
JO,4,JO,2,1,1,0
JP,124,JP,39,30,23,32
KE,6,KE,0,2,2,2
KG,1,KG,0,0,0,1
KP,127,KP,50,27,16,34
KW,3,KW,0,0,2,1
KZ,7,KZ,4,1,1,1
LB,7,LB,3,1,3,0
LK,8,LK,8,0,0,0
LT,1,LT,0,1,0,0
LU,16,LU,5,6,0,5
LV,1,LV,1,0,0,0
LY,1,LY,0,0,1,0
ME,2,ME,0,0,0,2
MT,1,MT,1,0,0,0
MW,1,MW,0,0,0,1
MX,100,MX,29,34,4,33
MY,4,MY,0,0,1,3
MZ,1,MZ,0,0,0,1
NG,47,NG,14,11,18,4
NL,220,NL,63,75,36,46
NO,80,NO,28,22,19,11
NP,3,NP,3,0,0,0
NZ,78,NZ,24,20,14,20
OM,5,OM,4,1,0,0
PA,7,PA,0,2,1,4
PE,11,PE,4,3,3,1
PH,25,PH,6,7,5,7
PK,3,PK,1,1,0,1
PL,42,PL,15,7,7,13
PR,44,PR,10,19,9,6
PT,17,PT,6,4,2,5
QA,11,QA,3,2,3,3
RO,9,RO,3,1,2,3
RU,45,RU,14,11,9,11
SA,26,SA,8,6,6,6
SB,3,SB,1,1,1,0
SE,234,SE,69,64,36,65
SG,87,SG,26,27,11,23
SI,9,SI,1,2,3,3
SJ,1,SJ,0,1,0,0
SO,14,SO,2,5,1,6
SV,2,SV,0,0,2,0
TH,16,TH,4,4,4,4
TN,2,TN,0,1,1,0
TR,70,TR,12,27,19,12
TW,77,TW,21,18,17,21
TZ,1,TZ,0,0,0,1
UG,3,UG,2,1,0,0
US,13481,US,3781,3763,2775,3162
UY,1,UY,1,0,0,0
VE,3,VE,1,0,1,1
VN,3,VN,0,0,2,1
YE,6,YE,1,3,1,1
ZA,56,ZA,19,17,8,12
ZW,3,ZW,0,0,1,2
