NAME,SUM,AAG2016,AAG2015,AAG2014,AAG2013
AK,24,7,6,4,7
AL,120,29,32,34,25
AR,46,11,13,12,10
AZ,450,115,118,92,125
CA,1667,637,295,197,538
CO,357,101,101,74,81
CT,165,43,54,38,30
DC,219,65,52,46,56
DE,39,13,10,9,7
FL,489,128,99,172,90
GA,313,84,75,84,70
HI,59,17,16,10,16
IA,123,30,38,26,29
ID,55,19,18,8,10
IL,509,108,228,89,84
IN,209,52,87,37,33
KS,266,74,66,55,71
KY,296,78,70,74,74
LA,170,37,58,32,43
MA,451,112,124,95,120
MD,208,51,58,46,53
ME,34,11,7,11,5
MI,436,97,142,96,101
MN,288,82,91,50,65
MO,151,42,47,32,30
MS,54,7,14,19,14
MT,59,21,15,14,9
NC,453,116,135,111,91
ND,43,7,16,8,12
NE,52,9,24,11,8
NH,88,21,21,22,24
NJ,245,65,62,56,62
NM,57,19,16,7,15
NV,50,19,12,6,13
NY,884,277,245,165,197
OH,582,131,175,125,151
OK,178,44,59,41,34
OR,269,90,78,39,62
PA,610,172,175,140,123
RI,26,7,8,4,7
SC,176,45,50,53,28
SD,34,10,9,8,7
TN,330,95,101,71,63
TX,766,225,213,165,163
UT,135,48,29,25,33
VA,287,78,79,66,64
VT,56,16,18,15,7
WA,366,103,106,67,90
WI,396,77,161,77,81
WV,92,23,26,23,20
WY,46,12,11,13,10
